Importers	2012-M03-Exported unit value, US Dollar/Kilograms	2012-M04-Exported unit value, US Dollar/Kilograms	2012-M05-Exported unit value, US Dollar/Kilograms	2012-M06-Exported unit value, US Dollar/Kilograms	2012-M07-Exported unit value, US Dollar/Kilograms	2012-M08-Exported unit value, US Dollar/Kilograms	2012-M09-Exported unit value, US Dollar/Kilograms	2012-M10-Exported unit value, US Dollar/Kilograms	2012-M11-Exported unit value, US Dollar/Kilograms	2012-M12-Exported unit value, US Dollar/Kilograms	2013-M01-Exported unit value, US Dollar/Kilograms	2013-M02-Exported unit value, US Dollar/Kilograms	2013-M03-Exported unit value, US Dollar/Kilograms	2013-M04-Exported unit value, US Dollar/Kilograms	2013-M05-Exported unit value, US Dollar/Kilograms	2013-M06-Exported unit value, US Dollar/Kilograms	2013-M07-Exported unit value, US Dollar/Kilograms	2013-M08-Exported unit value, US Dollar/Kilograms	2013-M09-Exported unit value, US Dollar/Kilograms	2013-M10-Exported unit value, US Dollar/Kilograms	Exported value in 2013-M10, US Dollar thousand	Exported quantity in 2013-M10, Kilograms	
"Czech Republic"	3.75	3.48	3.01	3.12	3.51	3.64	4.21	3.47	4.18	4.32	4.27	4.13	3.70	3.71	3.83	3.21	3.67	3.58	3.65	3.75	244	65139	
"Belgium"	4.40	4.62	4.24	4.38	4.75	4.90	4.25	5.66	4.75	4.77	4.87	5.29	5.33	5.10	4.99	5.01	4.54	5.46	5.20	5.26	234	44453	
"Yemen"	3.45	3.88	3.60	3.75	3.96	3.97	3.81	4.34	4.21	3.61	3.72	3.80	3.80	3.85	3.98	3.90		3.82	4.20	3.77	232	61473	
"Bulgaria"	3.47	3.52	3.49	3.45	3.39	3.41	3.55	3.45	3.45	3.61	3.67	3.77	3.53	3.46	3.75	3.79	3.25	3.41	3.52	3.39	211	62192	
"Cyprus"	5.62	5.46	5	4.92	5.84	3.99	4.59	5.27	4.87	4.65	6.40	4.63	5.43	5.98	4.71	5.47	5.35	5.29	5.03	4.92	199	40416	
"Ethiopia"	4.06	3.65	3.75	3.68	3.58		4.17	3.90	3.50	3.88		3.91	4.14	4.01	3.96	4.16	4.01	3.83	3.70	4.21	191	45369	
"Morocco"	3.58	3.84	3.83	3.84	3.46	3.87	3.57	4.13	3.73	3.54	4.05	4.75	3.74	4.38	4.40	4.34	4.34	4.19	3.58	4.35	185	42563	
"Denmark"	4.59	4.74	4.05	4.24	4.71	4.59	4.39	5.16	5.14	4.59	4.40	4.58	4.04	4.59	4.10	4.09	3.95	3.98	4.25	4.35	179	41133	
"Canada"	14	8.93	9.13	12	9.94	10	12	12	13	12	10	12	16	12	16	13	8.95	9.56	14	11	173	15499	
"Serbia"	3.51	2.99	3.22	3.31	3.41	3.54	3.62	3.58	4.15	4.02	4.54	4.16	3.62	3.91	3.67	3.51	3.88	3.94	4.24	4.45	161	36213	
"Lebanon"	4.26	5.81	4.77	6.44	4.64	4.47	5.88	4.85	5.14	4.79	4.93	6.07	4.85	5.47	5.79	4.51	5.15	5.83	4.72	5.84	149	25528	
"Angola"	3.94	4.67	4.17	4.24	4.31	4.32	4.57	4.62	4.32			1.22	4.21	4.44	4.37			4.73		4.42	122	27597	
"Guinea"	4.53		6.62			1.80	3.80		4.30			3.96	12			4.30	4.30	4.09	7.83	22	121	5392	
"Finland"	3.57	3.63	3.76	3.61	3.61	3.46	3.68	3.78	3.62	3.76	3.85	4.03	3.78	3.78	3.80	3.89	3.82	3.90	3.89	3.91	119	30449	
"New Zealand"	5.02			3.47	3.54	3.20	3.38	3.17	3.00	3.19	5.18	5.07	4.83	4.94	4.65	4.84	4.26	4.43	4.38	4.26	117	27451	
"Benin"	4.59			0									3.35			3.50			3.48	4.80	109	22716	
"Croatia"	3.87	3.83	3.48	3.74	3.91	4.16	4.17	4.74	4.32	3.64	6.79	4.38	4.26	3.85	3.83	3.59	4.38	4.12	3.99	3.88	108	27843	
"Austria"	4.18	4.51	4.29	3.82	3.73	4.50	4.20	4.28	4.56	4.44	4.90	4.11	4.42	4.06	4.17	4.15	4.10	4.61	4.15	3.85	106	27567	
"Albania"	4.38	3.95	3.56	4.74	3.61	3.77	4.26	4.05	4.44	4.81	4.08	4.54	4.24	4.14	4.23	4.37	4.23	4.23	4.82	4.28	104	24271	
"Bosnia and Herzegovina"	4.48	4.49	3.98	3.90	3.88	3.82	3.79	4.05	3.95	3.99	3.92	3.96	4.43	4.20	4.09	3.55	3.72	3.52	2.93	4.19	91	21705	
"Macedonia, The Former Yugoslav Republic of"	3.61	3.94	3.65	3.12	3.39	3.82	3.81	3.86	4.20	4.31	3.20	3.86	3.71	4.39	4.03	4.14	3.84	4.13	3.46	3.94	86	21824	
"Lithuania"	4.31	4.04	4.18	4.22	5.33	4.65	4.82	4.70	4.28	5.94	5.95	4.73	5.33	4.77	4.38	4.30	4.37	4.61	4.60	4.43	78	17613	
"Free Zones"	71		9.09	36				33		11	21	9.11	11		8.65	10	6.40	13		6.63	77	11606	
"Turkmenistan"	5.87	4.53	4.37	8.03	4.19	3.73	3.63	3.91	7.46	3.91	10	10	4.70	6.74	6.88	5.12	4.28	3.49	4.74	5.39	72	13348	
"Switzerland"	5.15	5.22	4.82	4.34	4.10	4.47	4.20	4.49	4.93	5.99	4.50	4.69	4.52	4.98	4.85	4.24	3.68	3.87	3.86	4.26	69	16208	
"Slovenia"	4.09	4.74	4.26	4.30	4.69	4.88	4.90	5.24	5.69	6.36	5.13	5.32	4.89	5.10	5.35	5.70	4.97	5.05	5.12	5.26	63	11972	
"Kuwait"	3.63		3.72	3.53	3.48	3.86	3.59	3.95		3.75	3.97			4.05	4.27	4.33	4.09	4.04	4.21	4.52	62	13703	
"Jordan"	4.03	3.95	4.24	4.56	5.06	4.26	3.90	4.37	4.42	4.54	4.61	4.43	4.56	4.53	4.62	4.39	4.79	4.58	4.65	4.44	61	13746	
"Malta"	4.56	4.57	4.87	4.09	3.97	4.53	4.44	4.67	4.43	4.48	4.62	5.51	5.22	4.77	5.42	4.28	4.66	4.63	4.54	4.83	59	12217	
"Egypt"			2.74	3.88	5.36	4.62	3.48		3.30	3.31	3.33	3.44	3.51	3.40	5.73	3.32	2.94		8.82	4.36	54	12395	
"Slovakia"	3.42	3.32	2.93	2.88	3.18	3.51	3.37	3.78	3.64	4.04	3.54	3.74	3.25	3.43	3.34	3.47	2.96	3.58	3.69	3.83	51	13316	
"Taipei, Chinese"	3.93	3.82				4.92								4.43		13	4.19			4.19	46	10989	
"Bahrain"	1.63	3.98	4.07	3.49	3.41	3.44					4.02		5.04	4.19	4.32			4.04		4.23	44	10397	
"Sudan (before 2012)"	3.52	3.32	3.58	3.30	3.63	4.14		3.84		4.87	3.99	4.63	4.20	4.23		2.67	3.47	6.41	4.54	4.34	43	9917	
"Qatar"			3.93			4.43	5.40	4.30	4.39	4.78	3.86	4.01			5.18					5.81	38	6542	
"Iran, Islamic Republic of"	5.09	5.20	5.09	4.38	4.83	4.48	4.40	4.82	5.44	4.53	6.11	4.99	4.15	7.08	5.97		4.65	7.14	14	4.21	29	6885	
"Viet Nam"	7.00			5.08	4.04		6.30			8.47	6.30			6.20	6.72	6.66			7.12	6.43	28	4352	
"Singapore"	4.83	10	5.50	4.81	4.10	3.42	3.34	3.13	3.96	4.45	4.81	3.91	5.71	3.81	3.63	5.05	5.24	5.23	5.26	4.90	28	5712	
"Tunisia"	3.51		3.72	4.13	3.11	3.64	3.32	3.60	3.61	3.17	3.83			3.59	3.62	3.59	3.67		4.77	3.58	25	6976	
"Sri Lanka"										6.54	4.12					4.60	4.03			5.60	24	4284	
"Hong Kong, China"	3.63		3.50	5.94	12	3.36	3.67	4.33	3.55		2.29	2.88	2.64	3.25	4.29	3.51	4.38	11	4.84	4.37	23	5261	
"Uzbekistan"	6.29	6.72	6.35	7.12	6.33	6.66	6.77	6.16	5.68	5.81	6.20	7.07	6.23	7.65	5.02	8.03	7.06			4.02	23	5726	
"Norway"		5.48		3.96	3.59				3.67	5.95	3.22		7.93	4.26		4.97	2.56	4.16	3.46	5.12	23	4493	
"Peru"																	5.16			5.16	21	4073	
"Ghana"	3.55	3.26	3.80	3.81	4.13	4.28	4.26		3.64	2.53	4.12				4.64	4.35		3.34	3.14	4.30	19	4419	
"Malaysia"	6.25			4.76	3.09	5.07	5.59	5	4.92	4.79	2.40	5.72	4.77	5.29	2.40	5.66	2.15	4.95	5.37	5.00	17	3402	
"South Africa"	7.87	11	3.57	6.94	6.02	3.27	5.14	4.76	4.70	5.04	5.26	5.31	5.17	4.76	4.46	4.54	4.16	4.77	5.61	6.57	15	2283	
"Mongolia"	2.88	5.97	5.65		5.40	5.20	5.96	5.53	5.31	5.82	5.91	4.98	5.68	5.46	5.11	5.08	4.54	5.19	5.42	5.44	13	2388	
"Kyrgyzstan"	3.89	3.91	3.68			7.85	3.44	4.66	7.76	8.60	3.66	4.77	3.68	3.99	4.11	4.81	3.56	4.57	3.69	6.21	11	1770	
"Cameroon"			3.80		4.28				3.67	4.84										3.24	10	3088	
"Moldova, Republic of"	3.74		3.28		4.19	4.28	4.92	4.16	4.73	5.31			3.62	3.92	3.83	4.12	3.99	3.98	4.65	5.21	10	1918	
"Bangladesh"				3.28									2.35	4.33				5.51		3.75	8	2131	
"Latvia"										3.17								3.74	3.71	3.90	7	1793	
"Nigeria"	3.82		3.89	3.78		4.25	4.10	4.54		3.65	24			4.09		9.17	4.57		4.30	5.97	7	1172	
"Tanzania, United Republic of"				3.60		3.95		4.19		4.21			4.02	3.46	3.43					4.27	7	1638	
"Guyana"	4.37		3.69	3.35				4.11		4.21		4.97			4.43			4.84		4.06	6	1478	
"Bolivia, Plurinational State of"							5.66		6.30			5.14	6.48					6.53	3.59	5.55	3	541	
"Congo"			27		3.60	5.29				3.53			3.64		3.47			4.32		5.13	3	585	
"Montenegro"	2.96	3.95	3.69	3.73	2.96	3.17	4.39	3.75	8.33	3.95		4.43	4.86	3.94	5.83	4.69	5.25	3.71	4.54	7.09	1	141	
"Somalia"					3.09				4.90											4.12	1	243	
"Syrian Arab Republic"					7.82									2.46	7.41						0		
"Tajikistan"	4.73	8.09	16			8.19	3.48		7.03		5.01	6.69	4.40	4.81		7.26					0		
"Thailand"	3.31	3.74	3.22	3.15	3.13			5	3.11	3.27	3.58		2.99	2.59	2.36	6.67	4.03	4.64			0		
"Seychelles"												4.88									0		
"Sierra Leone"		3.75																			0		
"Saudi Arabia"		3.86	9.56		3.62	3.61	3.58	3.80	4.07	3.76	4.29	4.52		4.04	3.97	4.29	4.24	5.05			0		
"Senegal"	3.51	3.09	3.09	25	3.04	3.54	3.74		3.16	3.78	3.92	3.41	3.85		3.54	3.54	3.47		3.49		0		
"Oman"		4.03	6.59				3.52	3.95		4.09		2.09		1.88	3.19	4.29			4.01		0		
"Nepal"					3.46				8.40								4.88				0		
"New Caledonia"						4.07			4.55		3.77	4.01	4.50		3.79	4.22	4.11	7.52			0		
"Pakistan"	3.27								5.17	4.21				2.64							0		
"Panama"																33					0		
"Venezuela, Bolivarian Republic of"											5.60										0		
"Burkina Faso"		4.54				3.66			4.17		4.66				4.44		4.44				0		
"Uruguay"	3.92	3.66	3.66		3.29	4.51	3.80	4.04	3.55	3.85	3.52	3.50	3.70	3.60		3.68	3.21	2.60	3.46		0		
"Uganda"						0						4.30	4.52								0		
"Zambia"												12									0		
"Chad"	3.76	4.42				3.52				3.85	4.11	4.02	4.17			4.36			5.57		0		
"Chile"														6.20				4.56	6.43		0		
"Cabo Verde"											3.29										0		
"Equatorial Guinea"			3.89				6.37			3.70	4.78										0		
"Estonia"		3.85	3.22	3.47	0	4.75		5.29		4.21	4.44		4.34	5.07		4.45	3.72	4.57			0		
"Faroe Islands"	5.38																				0		
"Brazil"			4.48						8.20												0		
"Belarus"	4.80	5.32	5.46	4.72	4.61	4.98			5.35	5.95		5.54	5.53		5.54	11	4.79	5.53	5.76		0		
"Afghanistan"	4.24	4.25	4.86	6.61	4.31		4.86	4.78		3.56	7.23		4.45		4.94	6.11	4.95	5.79	4.71		0		
"Djibouti"			11															3.98			0		
"Gabon"		3.09	4.21	3.35	3.71		3.86	3.76	3.45	4.20	4.07	4.45	4.23	3.53	5.11		4.15	4.31	3.82		0		
"Indonesia"		6.16		6.02				6.48	5.45	6.48			4.56		6.31				5.01		0		
"Côte d'Ivoire"	3.99		4.47	4.16			4.62	4.70					4.18	3.83	3.59		4.16		5.03		0		
"Japan"																	12				0		
"Liberia"		4.02			4.41				4.47							4.36					0		
"Kenya"				6.15		3.86			13	4.22			4.33				7.25				0		
"Korea, Republic of"	4															15	4.61				0		
"Mali"	3.88				3.78	3.81	2.01									3.57		3.67			0		
"Mauritania"	22		4.28	4.69		11	4.02					4.66		4.26					5.34		0		
"Mauritius"		4.48				4.07		7.69									4.44	4.20			0		
"Mexico"				10																	0		
