Importers	2005-M01-Exported unit value, US Dollar/Units	2005-M02-Exported unit value, US Dollar/Units	2005-M03-Exported unit value, US Dollar/Units	2005-M04-Exported unit value, US Dollar/Units	2005-M05-Exported unit value, US Dollar/Units	2005-M06-Exported unit value, US Dollar/Units	2005-M07-Exported unit value, US Dollar/Units	Exported value in 2005-M07, US Dollar thousand	Exported quantity in 2005-M07, Units	
"Iran, Islamic Republic of"	237	229	137	201	220	219	534	109	204	
"Brazil"	500	154		151			155	99	640	
"Algeria"			196				124	79	635	
"Malaysia"	162	124		444	167	316	125	79	632	
"Tunisia"		135	129	615	109		115	75	654	
"Jamaica"				152	124	157	156	75	482	
"Portugal"	102	129	160	161	165	142	236	73	309	
"Norway"	76		150	96	78	95	107	71	666	
"Panama"	140	129	151	150	122	148	149	68	456	
"Myanmar"	107	96	233	114	104	400	116	63	544	
"Côte d'Ivoire"	125		143			200	117	60	515	
"Kyrgyzstan"							174	56	322	
"Israel"	124	112	104	140		310	156	53	340	
"Suriname"	94	105			140	138	117	52	446	
"Oman"	141	147	250	168	130	109	106	48	454	
"Philippines"		100	110	131	113	148	151	46	304	
"Taipei, Chinese"	200				200	102	162	44	272	
"Cyprus"	186	140	182	161	164	157	148	42	284	
"Viet Nam"	102	102	100	117	108	110	120	40	334	
"Ghana"	149	120	109	115	107	114	109	37	341	
"Cuba"			155				157	37	236	
"Thailand"						151	621	36	58	
"Trinidad and Tobago"				150		162	154	35	228	
"India"				157	211	235	390	32	82	
"Austria"							176	32	182	
"Germany"	226	269	185	222	148	164	201	31	154	
"Mauritius"	161		127		123	171	182	28	154	
"Madagascar"	108	145	200			104	122	26	213	
"Netherlands Antilles"				171		71	87	26	300	
"Qatar"			323	148	144	156	173	26	150	
"Lebanon"			71	167		83	169	26	154	
"Benin"			117	145		145	144	25	174	
"Barbados"	146			159	156		157	25	159	
"Mali"					169		72	23	320	
"Bosnia and Herzegovina"						137	83	20	240	
"Angola"	124		130	118	147	161	136	19	140	
"Czech Republic"	315	250	224		138	260	235	19	81	
"Venezuela, Bolivarian Republic of"	124	101	101				250	19	76	
"Sweden"			183	147	115	140	79	17	215	
"Switzerland"							183	17	93	
"Mayotte"	137					138	123	17	138	
"Georgia"		219			164		233	17	73	
"Senegal"	152					508	165	16	97	
"Guyana"					159		159	13	82	
"Cameroon"	140		100		141		128	12	94	
"Malta"		143	280				140	12	86	
"Mauritania"							76	11	144	
"Morocco"						169	186	11	59	
"Dominica"							204	11	54	
"Korea, Democratic People's Republic of"	1000	100	167	500	148	206	667	8	12	
"Congo, Democratic Republic of the"			113				143	5	35	
"Denmark"	101	101		92		255	97	3	31	
"Sierra Leone"	103						100	1	10	
"Papua New Guinea"		143	103	112	146	84		0		
"Peru"	130	151		83				0		
"Seychelles"		128		100		128		0		
"Romania"						643		0		
"Pakistan"	81	97	98	121	318	108		0		
"Mozambique"	161	145	129	134		122		0		
"Moldova, Republic of"			157					0		
"Namibia"			141		166			0		
"Nepal"	103			100				0		
"Malawi"		120						0		
"Mexico"								0		
"Sudan (before 2012)"		500						0		
"Slovenia"		167		106	104	142		0		
"Zimbabwe"			132					0		
"Togo"				123				0		
"Turkey"	100		103	122	177	129		0		
"Egypt"						381		0		
"Zambia"	78					193		0		
"Tanzania, United Republic of"			140	162	108	112		0		
"Uzbekistan"		428		153	169	156		0		
"Gambia"				150				0		
"French Polynesia"			188	200	692			0		
"Djibouti"		138			97	134		0		
"Gabon"	120	145	86	79				0		
"Grenada"				149		200		0		
"Guinea"				116				0		
"Iraq"						125		0		
"Ireland"	151	138	168	157	173	125		0		
"Haiti"				124		107		0		
"Costa Rica"				148	93			0		
"Croatia"		144				204		0		
"Dominican Republic"	400		48	141				0		
"Ethiopia"					104	102		0		
"Fiji"	125	129	148					0		
"Congo"	120				131	115		0		
"Sri Lanka"	138		120	121	143	120		0		
"Chile"					118			0		
"Colombia"		138		142		138		0		
"Argentina"		140						0		
"Bahrain"	231		286					0		
"Armenia"				192		100		0		
"Brunei Darussalam"	170	113	152		170	100		0		
"Belarus"	147			130				0		
"Cambodia"					75			0		
