Importers	2005-M01-Exported unit value, US Dollar/Units	2005-M02-Exported unit value, US Dollar/Units	2005-M03-Exported unit value, US Dollar/Units	2005-M04-Exported unit value, US Dollar/Units	2005-M05-Exported unit value, US Dollar/Units	2005-M06-Exported unit value, US Dollar/Units	2005-M07-Exported unit value, US Dollar/Units	Exported value in 2005-M07, US Dollar thousand	Exported quantity in 2005-M07, Units	
"Ireland"	83		97	11	375	667	667	26	39	
"Bulgaria"	138			40			103	26	252	
"Iraq"							197	23	117	
"Panama"		76	714		185		150	22	147	
"Switzerland"		100	39		40		44	22	504	
"Macao, China"	242	111	302	133	507	125	241	21	87	
"Libya, State of"				750			690	20	29	
"Tajikistan"							244	20	82	
"Papua New Guinea"		312	615			420	692	18	26	
"Pakistan"	481	162	469	159	250	231	3000	18	6	
"Hungary"			13			244	643	18	28	
"Argentina"					48		23	17	740	
"Angola"	1036	191	600	98	381	533	176	16	91	
"Grenada"							222	16	72	
"Madagascar"			586	529	261	243	485	16	33	
"Kenya"			87	55	181	183	74	15	203	
"Oman"	94	96	181		115		48	15	310	
"Tanzania, United Republic of"	167		167	151			173	14	81	
"Ghana"		5500			131		135	14	104	
"Chile"	500	500	188	2580	167	405	124	14	113	
"Samoa"							448	13	29	
"India"	4333	1000	199	778	43	1000	813	13	16	
"Malta"						60	226	12	53	
"Benin"						222	167	12	72	
"Costa Rica"	125			1000			169	11	65	
"Iran, Islamic Republic of"			27	36			27	10	370	
"Nepal"	222				1850	182	179	10	56	
"Turkmenistan"							250	10	40	
"Senegal"							167	9	54	
"Equatorial Guinea"							78	9	116	
"Mongolia"	143	125	135	139	177	288	154	8	52	
"Trinidad and Tobago"							122	6	49	
"Austria"					43		20	6	294	
"Cook Islands"							556	5	9	
"Sudan (before 2012)"	7429	500					750	3	4	
"Poland"			213				1500	3	2	
"Turkey"	218			875		116	38	2	52	
"Ukraine"				41	400	110	17	2	120	
"Egypt"			64	170	100	35	500	2	4	
"Venezuela, Bolivarian Republic of"	765			280			333	1	3	
"Mauritius"					222	1000	333	1	3	
"Myanmar"	247	538	86			545	250	1	4	
"Guyana"							1000	1	1	
"Jordan"			160	129	273		500	1	2	
"Côte d'Ivoire"	111		141			200		0		
"Lithuania"		500		588	493	448		0		
"Latvia"						719		0		
"Guatemala"	15							0		
"Iceland"		19						0		
"Fiji"		265	162		125	63		0		
"Finland"		15	122	19	20			0		
"French Polynesia"				82		170		0		
"Djibouti"	957					1000		0		
"Gabon"				79				0		
"Georgia"		3294						0		
"Cambodia"					1000			0		
"Cameroon"		182				1000		0		
"Belize"	5000							0		
"Solomon Islands"	167	143		250		250		0		
"Bahrain"		500		187	127	200		0		
"Bangladesh"	214		105	1647	128	211		0		
"Armenia"			500			196		0		
"Albania"					202			0		
"Czech Republic"			172	29		25		0		
"Ecuador"	886		221	1154	283	500		0		
"China"								0	0	
"Colombia"		80						0		
"Mayotte"	185							0		
"Congo"				2000				0		
"Congo, Democratic Republic of the"			167					0		
"Mexico"	170		60		250	110		0		
"Mauritania"		667						0		
"Mali"					188			0		
"Namibia"			107		214			0		
"Mozambique"	125		105	168		18		0		
"Norway"	19		16		115	103		0		
"New Caledonia"					165	281		0		
"Sierra Leone"			154	2000	200			0		
"Slovakia"			110					0		
"Peru"		14333			3000			0		
"America not elsewhere specified"	150							0		
"Romania"				268	38	125		0		
"Yemen"				189	209	343		0		
"Zambia"	101							0		
"Tunisia"					23			0		
"Togo"		1333						0		
