Importers	2011-M11-Exported unit value, US Dollar/Kilograms	2011-M12-Exported unit value, US Dollar/Kilograms	2012-M01-Exported unit value, US Dollar/Kilograms	2012-M02-Exported unit value, US Dollar/Kilograms	2012-M03-Exported unit value, US Dollar/Kilograms	2012-M04-Exported unit value, US Dollar/Kilograms	2012-M05-Exported unit value, US Dollar/Kilograms	2012-M06-Exported unit value, US Dollar/Kilograms	2012-M07-Exported unit value, US Dollar/Kilograms	2012-M08-Exported unit value, US Dollar/Units	2012-M09-Exported unit value, US Dollar/Units	2012-M10-Exported unit value, US Dollar/Units	2012-M11-Exported unit value, US Dollar/Units	2012-M12-Exported unit value, US Dollar/Units	2013-M01-Exported unit value, US Dollar/Kilograms	2013-M02-Exported unit value, US Dollar/Kilograms	2013-M03-Exported unit value, US Dollar/Kilograms	2013-M04-Exported unit value, US Dollar/Kilograms	2013-M05-Exported unit value, US Dollar/Kilograms	2013-M06-Exported unit value, US Dollar/Kilograms	Exported value in 2013-M06, US Dollar thousand	Exported quantity in 2013-M06, Kilograms	
"Malaysia"	4.28	4.35	5.44	4.58	4.20	3.42	3.82	3.81	4.29	326	529	422	386	352	4.60	6.33	4.44	4.93	4.44	4.31	1136	263527	
"Brazil"	3.63	2.65	12	2.94	3.43	4.90	3.83	4.06	9.79	375	705	196	231	208	9.48	6.90	8.35	3.00	3.93	4.06	1087	267896	
"Chile"	3.91	4.05	4.70	4.44	3.85	3.63	3.71	3.63	3.28	315	227	368	240	248	3.51	3.99	4.16	4.16	3.68	3.63	1087	299553	
"Hong Kong, China"	6.21	5.80	6.01	7.20	5.78	6.31	6.90	6.74	6.80	868	867	968	1028	778	7.44	7.54	6.33	6.89	6.66	9.75	1040	106622	
"India"	11	3.93	4.50	4.08	3.80	3.99	6.63	5.30	6.45	273	372	396	335	361	4.14	4.07	3.68	5.41	4.39	4.10	971	236847	
"Singapore"	6.47	6.17	5.31	5.74	6.59	5.76	6.01	6.36	5.59	464	652	1035	781	720	5.74	7.00	6.64	6.40	6.12	6.94	947	136381	
"Philippines"	4.57	5.46	4.93	5.47	3.79	4.93	4.72	4.97	4.49	255	388	317	490	422	3.91	4.39	6.16	4.66	5.19	4.47	887	198538	
"France"	3.66	3.62	3.95	3.73	3.76	3.87	3.79	3.88	4.01	250	304	302	307	230	3.96	3.90	3.80	3.91	3.96	4.22	862	204123	
"Japan"	7.16	4.78	6.57	6.19	7.36	8.64	8.26	9.93	6.52	591	669	735	618	838	7.23	5.35	6.16	7.83	5.29	5.43	830	152892	
"Colombia"	4.32	4.49	6.27	4.57	4.99	5.10	4.81	4.50	4.50	389	598	485	1017	1383	4.19	4.35	4.69	4.02	3.95	4.90	829	169250	
"Korea, Republic of"	3.30	2.95	3.83	4.76	4.16	3.71	4.45	4.61	4.48	241	236	692	506	418	4.05	5.84	6.38	4.85	5.06	4.48	748	167065	
"Algeria"	17	3.22	4.20	2.96	3.26	2.88	3.32	3.63	3.61	193	536	313		325	3.65	3.31	2.91	3.43	3.04	3.75	702	187388	
"Netherlands"	5.20	4.70	4.24	4.64	4.46	5.35	4.51	4.44	4.42	243	291	304	1439	294	4.87	4.29	4.43	4.03	4.44	4.26	624	146375	
"Spain"	3.70	3.40	3.16	4.58	3.70	3.44	4.25	3.68	3.47	264	280	209	331	240	3.60	6.34	4.46	3.52	5.18	4.31	609	141341	
"Thailand"	3.31	2.71	3.26	3.43	4.06	2.85	3.41	3.30	2.94	231	221	232	247	203	3.12	4.66	5.84	4.90	6.15	4.10	593	144706	
"Russian Federation"	4.56	4.27	4.30	3.72	3.83	3.96	3.67	4.56	4.39	929	484	308	471	347	5.02	3.90	4.50	4.13	5.06	4.24	521	122808	
"Bangladesh"	3.23	8.44	3.64	3.10	5.80	3.72	3.44	3.00	3.62	165	331	808	4667	338	4.29	5.41	3.61	3.72	3.80	3.88	504	129904	
"Mongolia"	3.85	3.69	5.41	4.68	5.20	3.65	4.19	3.83	4.15	347	151	609	283	273	4.98	4.69	4.98	4.49	4.04	3.95	478	121032	
"New Zealand"	5.54	6.15	5.49	4.92	5.13	6.58	5.30	5.59	4.94	611	752	493	636	1336	5.10	5.16	5.57	5.48	5.97	6.40	459	71730	
"Canada"	5.03	5.22	5.06	4.53	4.98	5.13	5.63	4.79	6.16	611	697	431	585	667	5.05	5.16	5.17	5.32	5.54	5.51	451	81780	
"South Africa"	4.37	3.52	3.24	3.15	3.72	3.28	4.13	3.95	4.59	296	251	307	352	263	5.00	3.45	5.95	4.47	4.72	3.08	403	130783	
"Israel"	4.10	3.89	5.15	3.23	4.37	3.91	4.25	4.21	4.26	484	524	240	276	469	4.02	4.81	3.26	4.73	4.42	4.67	393	84084	
"Denmark"	3.61	3.62	4.09	3.38	3.54	3.60	4.54	3.59	3.79	167	190	275	274	197	3.65	3.39	2.68	3.73	4.08	3.52	356	101135	
"Turkey"	6.88	5.13	5.04	2.83	6.11	3.33	3.86	4.02	5.68	238	182	651	200	378	4.14	3.72	4.25	3.07	4.08	3.86	343	88893	
"Iraq"	3.00		3.56	3.06	3.22	3.22	2.63	3.73	2.71	122	5000	148	134	352	4.55	3.26	5.58	3.03	4.80	3.19	330	103458	
"Libya, State of"			4.35	3.23	4.94	3.33	3.43	2.89	3.37	354	1032		500		3.73	2.99	5.73	4.38	3.63	3.45	296	85888	
"Slovenia"	3.79	3.27	5.20	3.84	4.91	3.20	3.55	3.81	3.38	243	236	303	414	218	3.72	2.98	3.94	3.75	4.09	4.29	285	66434	
"Bahrain"	5.53	6.51	5.55		3.77	4.65	4.35	3.85	4.79	759	260	948	764	1649	5.59	5.10	9.98	7.35	3.98	5.70	278	48738	
"Taipei, Chinese"	5.52	4.55	5.84	4.53	5.23	5.61	4.70	3.98	5.52	781	918	794	452	350	5.70	6.40	6.21	6.78	5.35	6.38	271	42468	
"Jordan"	3.72		3.30			3.54	3.81	8.91	4.00	678	288	243	381	535	5.41	4.84	3.45	3.48	4.37	3.94	255	64784	
"Kazakhstan"	4.48	3.55	3.51	3.62	4.00	3.59	3.76	3.50	3.56	219	297	165	259	301	3.21	3.44	3.60	3.75	3.83	3.44	253	73613	
"Kyrgyzstan"		2.83	3.67	3.33	2.99	3.45	2.90	2.96	3.70	177	290	275	175	338	3.11	3.21	2.86	2.83	3.15	3.32	244	73545	
"Peru"	4.13	4.14	7.61	4.58	5.99	3.99	5.05	4.55	4.36	391	881	1183	409	1215	4.15	4.87	4.29	5	4.41	4.58	218	47631	
"Angola"	2.64	2.73	2.61	2.92	2.14	3.10	3.37	2.55	3.21	221	248	344	193	300	2.94	2.94	2.65	2.94	4.23	2.94	208	70778	
"Bolivia, Plurinational State of"	3.81	3.23	6.25	3.15	3.55	3.70	3.29	3.27	4.92	319	433	7000	259	286		4.97	3.31	3.01		4.26	201	47154	
"Guinea"	3.03	3.57	2.94	3.02	3.18	2.91	2.72	3.52	3.37	197	125	197	353	500	3.39			3.49	3.07	3.84	199	51839	
"Myanmar"	3.05	3.81	3.23	2.96	3.66	3.16	2.87	3.31	2.85	222	285	1300	203	398	4.05	2.85	3.34	3.15	2.98	3.05	193	63382	
"El Salvador"		2.99			3.02		10		3.58		190							3.01		5.51	189	34328	
"Kenya"	4.86	3.22	4.96	4.99	5.09	2.91	3.93	3.29	4.15	241	433	508	487	404	5.38	4.43	4.41	4.24	3.42	4.07	174	42721	
"Finland"	5.94	3.91	5.90			3.50	4.63	5.38	4.90		437	375	707	600	4.04	4.75	5.58	4.49	5.02	3.61	167	46294	
"Sri Lanka"	4.28	3.60	3.91	3.70	3.45	4.29	3.78	4.34	4.31	352	399	335	259	850	3.46	3.71	3.71	3.89	4.65	4.48	165	36802	
"Uruguay"	3.76	3.52	4.13	5.45	11	4.15	3.91	5.20	3.07	423	288	921	302	765	3.88	4.57	3.81	3.31	4.51	4.00	163	40721	
"Mexico"	3.99	5.13	4.25	4.09	6.90	4.90	5.39	5.65	5.54	246	188	1513	573	330	4.83	8.67	4.74	7.13	6.37	6.33	162	25576	
"Nigeria"	3.19	3.95	3.34	2.95	3.43	2.95	4.35	4.11	4.57	241	221	256	203	402	3.40	3.45	3.76	3.37	3.05	3.83	162	42270	
"Ireland"	3.80	3.39		5.03	2	6.97	7.15	4.33	6.66	390	273	776	208	220	3.84	4.68	7.24	4.72	5.33	5.62	161	28668	
"Sweden"	4.78	5.48	5.68	4.15	4.90	5.25	5.45	4.84	5.08	434	584	380	629	394	7.45	5.22	5.27	6.50	7.82	5.56	161	28969	
"Georgia"	5.17		4.37			3.60	5.67			1000	236	123	667	667	7.49	4.35		4.03	5.68	4.11	158	38480	
"Niger"						2.69				667				500					2.12	2.12	147	69320	
"Poland"	4.63	4.14	6.15	16	3.74	4.72	6.94	14	5.15	826	247	204	173	480	4.78	3.72	4.94	5.19	12	4.08	135	33073	
"Turkmenistan"	2.69	2.49	2.60	4.77	3.36	3.58	2.74	3.36		196	218	1750	162	279	2.41	4.42	3.11	2.47	3.17	2.47	129	52140	
"Yemen"		3.28			4.54	2.42	3.02	3.64		208	219	198		344	3.25	4.34	2.85	2.91	3.09	3.36	128	38109	
"Oman"	3.49	4.70	2.42	3.49	5.28	5.14	5.26	4.76	4.07	600	411	697	216	831	5.63	4.32	7.20	6.52	3.46	3.44	115	33460	
"Ghana"	3.95	3.92	3.24	4.81	3.84	4.18	2.53	3.02	3.83	269	229	194	230	423	2.97	3.50	3.28	3.31	3.04	3.18	115	36132	
"Samoa"					2.38				5.33	250		250				3.38			3.56	4.20	110	26190	
"Ecuador"	3.81	3.48	2.92	3.78	4.63	4.89	5.27	2.87	4.75	379	352	312	274	216	8.41	3.94	7.08		4.83	5.61	108	19261	
"Morocco"	3.30	3.84	3.12	3.25	3.46	3.77	4.73	2.70	3.73	326	201	667	600	323	4.01	3.98		4.38	4.14	3.78	100	26424	
"Hungary"	2.94	3.94	4.33		3.83	2.79	3.18	3.22	3.98	808	300		203	462	5.18	3.52	4.46	4.70	4.89	2.90	100	34524	
"Cambodia"	3.16	4.45	4.40	4	2.49	2.72	3.12	3.97			343	1000	508	400	3.53	3.31	3.01	6.39		3.61	98	27137	
"Honduras"	5.02		2.91	5.05	2.96	3.61	2.84	3.82	3.57	235	195	240		1877	2.71	2.16	2.60	3.32	3.14	3.00	93	31044	
"Congo, Democratic Republic of the"	2.31		3.09	4.44	2.59		2.67	3.18	3.01	189	305	148	146	356	2.81	3.16	3.17	3.35	2.81	2.94	87	29625	
"Kuwait"	4.39	6.09	6.49	4.96	3.09	4.38	9.37	5.52	4.03	531	291	371	793	1138	4.72	5.92	6.30		5.87	4.91	86	17525	
"Burkina Faso"				7.41			2.31		2.70					321	2.73					3.40	86	25308	
"Papua New Guinea"	6.56		4.24		5.65	3.97	3.38	4.81	7.81	282	664	438	418	843	3.52	6.10	7.14	4.12	3.72	4.08	84	20596	
"Czech Republic"	4.92	4.36	6.94	3.96	3.69	4.36	4.92	2.70	2.71	283	435		1000	372	4.80		3.80	3.77	5.09	4.96	75	15131	
"Solomon Islands"					3.82		3.97			350	727						3.63			6.43	74	11513	
"Belgium"	5.40	3.32	3.85	4.73	4.92	5.80	3.46	4.06	5.66	307	178	417	410	363	6.71	5.07	3.37	3.98	3.85	4.89	74	15119	
"Venezuela, Bolivarian Republic of"	12	5.87	4.26	4.83	3.52	4.20	3.63	3.78	4.41	388	295	335	572	362	3.31	4.08	3.76	4.63	4.97	3.90	73	18704	
"Pakistan"	6.57	4.25	7.72	7.21	7.35	7.89	7.42	13	4.05	1500	1308	1500	185	1632	6.07	0	5.65	5.11	7.94	7.48	72	9627	
"Mauritius"	4.16	2.49	9.54		2.76		4.30	4.07	13	456	304	264	286	480	12	6.39	5.23	4.38	3.38	4.01	70	17438	
"Uzbekistan"	3.70		3.92	3.66		3.15	3.44	3.45				297	286		2.39	2.70	3.87	3.62	3.85	3.13	68	21747	
"Panama"		3.11	3.46	3.43	3.44	3.40	2.69	3.73	3.07	271	692	284	841	226	3.25	5.41	4.57	4.69	3.25	3.65	66	18097	
"Albania"	2.78		4.49	2.59		3.47	3.05	3.11						235	2.32		3.64	3.71	3.36	3.20	66	20639	
"Paraguay"	2.98	3.41	3.41	3.40	3.08	3.14	3.57	2.87	2.87	270	252	199	259	209	3.12	2.91	2.66	2.63	3.09	3.85	61	15831	
"Iran, Islamic Republic of"	5.48	3.56	4.33	6.25	4.17	4.20	4.85	3.11	3.60	153	185		703		3.90				4.23	2.70	58	21492	
"Guatemala"	3.38	2.99	3.40		3.42	7.43	3.00	27	3.05	209	131	337	313	1114	2.96	2.98	3.51	3.99	3.20	3.76	57	15178	
"Ethiopia"		4.34			13						569		366						2.91	3.05	53	17356	
"Romania"	4.54	3.82	4.40	4.56	4.82	4.17	4.61	3.76	4.16	386	488	461	568	241	4.40	4.49	5.08	4.07	4.37	4.06	53	13066	
"Korea, Democratic People's Republic of"	4.28	6.92	4.82	4.65	10	3.20	4.03	3.98	4.30	272	233	336	210	245	4.43	11	3.90	8.82	3.16	4.30	52	12088	
"Greece"	4.69	3.19	3.30	3.08	3.30	3.64	4.50	3.99	3.76	213	1000	312		181		3.54	5.83	4.33	3.42	4.82	52	10783	
"Suriname"	5.08	4.28	3.56		3.39	2.95		4.57	3.90	468			269	281	3.22	3.76			3.88	3.37	51	15142	
"Tanzania, United Republic of"	2.31	3.84	4.61	4.30	3.40	5.69	2.73	5.23	2.89	555	180	243	345	162	3.72	2.81	2.49	5.55	5.85	4.56	50	10970	
"Guyana"				2.61		2.31			3.42	200		229	219						2.74	3.01	47	15613	
"Madagascar"	2.67	4.55	2.62	2.94			2.57	2.5		750	247	222	173	305	4.59	2.93	2.22	6.58	2.31	3.25	45	13837	
"Bulgaria"	5.94	3.98	6.91	5.48	3.77	3.42	3.45	4.60	5.23	484	265	433	523		6.11	4.26	3.70	3.69	4.51	2.69	44	16330	
"Uganda"	10	3.06	3.19			5.56		2.86	5.07	863		501	464	578		14		5.20	2.77	4.29	41	9558	
"Equatorial Guinea"	4.17			2.93	10	2.91		13	13	188	639		203	1000		6.25		12		8.72	38	4360	
"Congo"					2.29		3.03	2.36			3000	255		261		2.22			2.86	3.18	37	11653	
"Lithuania"		4.00		5.13		3.67	5.10	4.47		333	484		391	350	3.42				5.84	5.08	33	6498	
"Macao, China"	6.03	6.91	5.73	6.14	8.03	4.60	6.87	5.50	4.72	1000	897	909	725	690	4.41	4.50	9.60	6.04	2.88	7.58	30	3960	
"Côte d'Ivoire"		4.10	3.07		2.91	2.44	4.05	3.27	2.75	490	267	179	190	152				3.17	3.47	2.91	27	9292	
"Cameroon"		3.16	3.12	3.43	7.32	3.27			2.91	179	224		504	167	3.27	3.23	2.28	2.92		2.80	24	8586	
"Lebanon"	3.44	5.71	4.04	3.03	4.57	3.44	4.06	4.31	5.30	428	619	557	554	529	3.93	3.63	4.43	4.84	4.52	3.59	22	6126	
"Trinidad and Tobago"	3.05		3.31		2.54	3.52	3.31	3.72	2.89	268	691	210	206	1000			3.04		3.61	3.09	22	7122	
"Ukraine"	5.44	5.64	3.54	9.03	9.66	5.33	3.86	6.99	3.99	494	585	328	375	1030	7.05	4.28	3.80	4.15	5.46	5.61	18	3210	
"Moldova, Republic of"											162			500		2.64				8.33	18	2160	
"Nepal"	2.84	5.25	2.60	3.43	2.93	3.22	3.64	2.73	3.38	241			222	300			2.12	3.53	3.16	3.45	17	4931	
"Norway"	6.77	3.88	6.88	4.61	4.31		4.65	4.71		147	417	407		714	4.55	5.80		4.52	5.00	5.11	17	3324	
"Qatar"	4.05	5.55	4.92		9.21	5.23	3.85	6.82	3.37	1000	339	643	1047	833	4.16	5.21	6.52	3.35	15	3.28	16	4875	
"Jamaica"	5.30	3.39			3.29	3.17	2.60		3.59	200		266	346	218	4.48	4.28	2.93	3.09	2.78	2.87	16	5568	
"Brunei Darussalam"	7.27	3.56	3.20		3.96	4.23		4.07	3.21	181	255		667	260	3.05	11	3.06		5.64	3.20	16	4998	
"Haiti"	2.62				4.64		2.84			205		156					2.87	5.11		4.09	16	3915	
"Senegal"	2.99	2.54						2.78	4.20	2000	167	213		213	2.69		3.12			2.85	16	5618	
"Saint Vincent and the Grenadines"																				3.08	15	4875	
"Mayotte"					3.08		2.82		3.02	275		429		230	2.65			2.98		2.78	15	5392	
"Fiji"	5.85	7.02	5.35	4.19	6.34	4.69	5.69	4.51	5.12	327	2476	652	526	524	4.76		10	4.50	5.43	9.17	14	1527	
"Cabo Verde"		2.13						3.18				178	491		2.46					3.18	14	4400	
"Malta"				12		5.01		22	2.96	333		250	1429	2000	7.04				5.52	6.93	13	1877	
"Belize"	3.17												200				2.86			2.98	12	4032	
"Dominican Republic"	3.44	4.72	5.24	5.16	3.14	5.74	3.51	5.37	4.09	353	250	1713	314		3.08	14	3.91	8.44	3.21	2.22	12	5398	
"Sudan (before 2012)"		4.05	4.41	3.30	2.61		15	4.24	2.55	1250	538		286	2694			8.97	6.84	2.65	2.55	12	4704	
"Benin"		2.94			2.80	4.46	3.47		3.17		204		171	224						3.18	11	3456	
"Montenegro"				2.37			2.36											2.64	3.30	1.81	11	6080	
"Mozambique"	3.35	8.21	4.56	4.44	3.64	2.61	3.22	3.00	3.11	457	465	156	188	201	3.03	3.48	2.36	3.28	3.12	3.50	11	3140	
"Gabon"	4.32	3.86	2.13	3.01		4.21	2.98	3.75	2.97		710	232	457		3.17	3.54	2.90	3.49	3.30	3.12	9	2880	
"Switzerland"	6.00	4.87	5.40	5.48	3.89	4.00	5.96	5.00	5.52	486		253	146	182	5.01				3.71	5.21	9	1728	
"Serbia"					2.61			3.09										4.55		4.04	8	1979	
"French Polynesia"	2.69	7.84	6.78	8.96	2.78	5.82				667	813		481	536	3.33	4.51	3.12		7.73	6.84	8	1170	
"Afghanistan"		4.08	3.03	2.58		2.86	3.17	3.43	3.07	197	136				2.99	3.31	3.29	3.04	4.03	4.42	8	1810	
"Vanuatu"																				3.66	8	2184	
"Liberia"			5.43		4.44		5.95			192	302	462	2769			2.85		1.14		3.15	6	1902	
"Cyprus"	3.72			3.36		4.14	6.09			1000		333		421	2.43	7.30		5.94		3.18	6	1885	
"Zambia"				7.14		3.40				500		233	500					4.09		63	6	95	
"Egypt"	5.24	4.28	3.27	4.44	5.84	4.50		2.52	6.42	80	3967		323	262	8.36	3.31	13	5.69	16	1.87	5	2680	
"Togo"		3.17			7.14							1000	183	250		2.85	2.87			7.75	2	258	
"Cuba"											2000									9.80	2	204	
"Nicaragua"	8.81		2.99					2.92		771	190		198					3.03		17	1	60	
"Portugal"		4.00	5.36		8.16			4.74							3.23	5.69	5.29		3.52	4.74	1	211	
"Timor-Leste"		2.78				3.56	4.54				395		700				3.87		0		0		
"Micronesia, Federated States of"		7.02																			0		
"Marshall Islands"										625								3.81			0		
"Netherlands Antilles"		15									240	690						8.17	2.78		0		
"Aruba"	4.29		4.12								667				6.71			4.47	13		0		
"New Caledonia"	11	7.41	4.12		3.37			4.00	3.79	778	280	375		198			4.12	3.51			0		
"Oceania Nes"										667		750	875	1000				3.56	3.83		0		
"Namibia"	3.53			3.26		3.13	7.35		6.58	929		189	299	300	3.14	2.71	4.69	44			0		
"Luxembourg"																					0		
"Latvia"	5.39	4.68	4.83			5.13						271						3.30			0		
"Lao People's Democratic Republic"			4.16				4.24	4.25	4.07									2.54			0		
"Mauritania"			2.85			5.96	4.58				7000	654									0		
"Malawi"											5000	750			3.33			3.03			0		
"Maldives"	3.70	21	5.81	5.13	6.75		6.94		3.32				700	128	2.93		5.71		2.26		0		
"Mali"							2.51	2.16	3.76												0		
"Iceland"				26													0	4.67			0		
"Cook Islands"		7.02																			0		
"Costa Rica"	8.20		4.40		6.94		3.42	11	4.97	625	241	2400	2250	235	6.44	3.93	5.07	5.76			0		
"Croatia"	6.17		5.21					5.45	4.04				210	221		8.72		4.05	4.34		0		
"Dominica"					11										18						0		
"Djibouti"	3.58	17		3.61			5.18	13	2.58					2250	2.41	6.24		4.18	19		0		
"Gambia"					3.47			5.75					125			2.85					0		
"Palestine, State of"		8.31						4.44							6.80						0		
"Estonia"							4.62					0				4.22		4.76			0		
"Grenada"		4.18													3.69						0		
"Kiribati"								2.61													0		
"Austria"	4.51	4.98			4.28	4.30	4.87	4.25	5.06	125		153	196	156	8.56	3.91	4.81		5.36		0		
"Bahamas"													750								0		
"Azerbaijan"									5.38								5.09	2.70			0		
"Argentina"	4.65		8.62	6.37		8.62			3.20			744		878	4.31	5.15					0		
"Bosnia and Herzegovina"					2.32													3.30			0		
"Armenia"							2.21					1250	1000		3.94						0		
"Barbados"				2.46				2.94							2.96				2.47		0		
"Chad"															5.38	17	13		33		0		
"Comoros"												667									0		
"China"																					0		
"Burundi"							6.17														0		
"Tonga"		7.89																			0		
"Tunisia"			3.45		6.78				13						4.15						0		
"Syrian Arab Republic"					6.06				9.38												0		
"Tajikistan"		8.36	3.24	3.32	2.93	2.95	3.01	3.14	3.10		400		520		16		3.04	3.05	2.97		0		
"Macedonia, The Former Yugoslav Republic of"																7.14	9.68				0		
"Turks and Caicos Islands"																		4.35			0		
"Tuvalu"		5.26																			0		
"Seychelles"			6.13				2.83				237						3.88	2.21			0		
"Sierra Leone"									4.29								2.85	3.08			0		
"Rwanda"								3.33			5000				42						0		
"Saint Lucia"												500	333	6000							0		
"Slovakia"		3.80			4.31			4.22					279					9.52			0		
"Somalia"															4.37						0		
"Zimbabwe"						4.41					4500	1650	273	1579	29	3.59					0		
